"varu-/tjänstegrupp","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"4703  elström, egnahem",98.32,114.63,99.35,111.94,100.98,104.40,101.57,93.51,99.57,96.29,95.63,103.24,105.03,112.83,103.40
"4704  pellets",..,..,..,111.58,109.46,104.40,95.29,95.06,100.65,100.33,98.34,99.21,99.09,106.41,115.01
"4801  räntekostnader, bostadsrätt",..,..,..,..,..,..,..,..,..,..,..,99.11,109.11,105.11,109.07
"4802  inre reparationer, bostadsrätt",..,..,..,..,..,..,..,..,..,..,..,104.62,101.15,102.04,101.39
"4803  månadsavgift, bostadsrätt",..,..,..,..,..,..,..,..,..,..,..,100.86,100.65,100.85,100.77
"5101  matbord",98.66,96.38,100.36,103.98,105.57,100.28,98.08,99.55,101.75,97.02,101.98,102.77,97.99,101.16,103.39
"5102  stol ostoppad sits",100.12,98.14,102.99,101.02,101.96,101.24,96.94,97.67,97.69,99.50,98.94,103.79,99.41,98.49,102.53
"5103  stol stoppad sits",99.32,97.35,102.34,100.56,104.88,96.67,93.53,95.89,97.93,102.06,100.99,98.13,102.14,103.46,104.07
"5107  säng",103.39,100.60,100.87,102.88,101.36,98.35,98.02,97.96,98.31,101.80,99.23,102.40,100.33,100.81,102.89
"5111  taklampa",96.09,100.33,102.29,102.99,100.73,100.69,100.42,101.23,95.64,97.29,102.53,98.01,95.12,102.19,101.36
"5114  fåtölj",95.48,94.84,101.25,103.45,105.04,99.63,98.21,98.98,99.38,98.48,99.63,102.72,101.45,96.31,103.26
"5133  soffa",96.32,96.74,98.30,102.63,100.77,95.59,96.35,96.36,99.43,101.20,102.13,98.84,99.44,101.48,102.04
"5134  hyllor och skåp",100.41,99.35,99.87,99.88,100.24,98.33,96.13,99.37,102.41,96.85,100.74,102.58,99.35,98.17,100.76
"5135  matta",100.56,94.19,94.25,103.31,98.72,97.93,93.54,98.90,91.06,99.62,101.02,100.19,100.31,103.50,98.45
"5201  madrass",101.18,102.94,99.46,99.95,104.17,94.95,95.79,96.29,102.22,104.92,93.15,100.96,98.63,101.74,103.38
"5203  handduk",99.42,99.12,99.91,91.81,98.77,95.95,100.78,100.16,97.99,96.33,104.13,103.81,93.43,102.35,96.94
"5204  påslakanset",89.09,95.03,98.58,96.53,94.29,101.22,105.18,99.48,88.28,94.38,96.14,105.29,97.20,104.89,101.91
"5205  gardin och gardintyg",94.20,91.39,99.59,88.95,97.23,99.40,93.89,96.02,88.99,97.47,101.21,103.13,99.23,100.09,95.40
"5212  täcke",105.02,94.99,95.99,105.18,101.98,98.49,104.12,106.42,97.18,100.37,103.86,111.20,98.88,106.16,97.06
"5213  spegel",99.09,97.83,104.33,98.95,99.04,98.20,98.75,102.97,99.17,96.55,96.47,100.73,103.23,101.59,101.00
"5301  tvättmaskin",101.31,99.06,98.52,96.89,105.75,100.34,92.18,94.59,96.19,92.86,92.27,93.88,99.77,104.78,101.18
"5302  diskmaskin",96.04,96.89,100.48,96.52,107.33,100.70,83.86,97.08,94.21,99.87,96.53,97.21,101.64,95.95,103.37
"5304  dammsugare",95.72,97.52,99.23,100.31,97.22,104.18,98.01,98.09,99.52,95.56,94.97,89.93,99.04,98.97,102.86
"5312  kyl- och svalskåp",101.82,102.86,99.62,99.36,102.07,100.23,90.70,93.58,100.20,93.82,97.33,98.75,97.12,101.00,101.90
"5313  mikrovågsugn",89.55,84.63,107.71,98.44,97.40,97.50,107.45,101.28,99.32,100.34,99.15,98.07,105.27,104.13,102.60
"5314  kaffebryggare",98.49,97.47,104.59,105.07,99.06,102.21,93.91,98.85,94.21,96.11,98.45,93.39,98.54,94.83,106.27
"5315  vattenkokare",95.74,100.38,102.34,95.63,100.21,105.33,99.63,99.95,94.34,93.50,97.31,95.31,94.37,98.74,103.08
